id,editoria,texto
1,esporte,"O time da casa venceu a partida por dois a zero e assumiu a liderança do campeonato. O técnico elogiou a marcação e o ritmo dos jogadores no segundo tempo. A torcida lotou o estádio e comemorou cada gol com bandeiras e cânticos. O resultado deixou a equipe invicta há sete rodadas. O artilheiro do time marcou mais uma vez e ampliou a vantagem na disputa pela artilharia. O treinador adversário reconheceu a superioridade do rival em campo. A próxima partida será contra o vice-líder, fora de casa. Os ingressos para o clássico já estão à venda."
2,esporte,"A derrota fora de casa complicou a situação do clube na tabela do campeonato. O goleiro falhou no primeiro gol, mas evitou um placar mais elástico nas finalizações seguintes. O treinador admitiu que o time precisa melhorar a defesa e a saída de bola. A torcida cobrou mais empenho dos jogadores após o apito final. A diretoria marcou uma reunião para avaliar o desempenho da equipe. O elenco terá uma semana cheia de treinos antes da próxima partida. O zagueiro titular cumpre suspensão e desfalca o time. A pressão sobre o técnico aumentou nos bastidores."
3,esporte,O atacante marcou três gols na vitória e se isolou como artilheiro do torneio. A partida teve ritmo intenso e muitas chances de gol para os dois times. O meia armou as jogadas e deu duas assistências no segundo tempo. A torcida aplaudiu de pé a atuação da equipe ao fim do jogo. O técnico aproveitou o placar para dar minutos aos jogadores reservas. O resultado recolocou o time na briga pelo título do campeonato. A defesa adversária não conseguiu conter o avanço pelas laterais. O próximo jogo definirá os classificados para a fase final.
4,esporte,A final do campeonato será disputada no próximo domingo entre os dois melhores times da temporada. O jogo promete grande público e uma disputa equilibrada no estádio central. Os técnicos pouparam jogadores titulares na rodada anterior para chegar inteiros à decisão. A comissão técnica estuda o adversário com base nos últimos confrontos. O time visitante aposta na velocidade do contra-ataque para surpreender. A arbitragem da final foi anunciada pela federação nesta semana. A torcida organizou uma festa nas arquibancadas para receber a equipe. A premiação ao campeão será entregue logo após o apito final.
5,esporte,A lesão do meia preocupa a comissão técnica às vésperas do clássico decisivo. O jogador deve ficar fora por algumas semanas e desfalca o time titular. O departamento médico iniciou o tratamento e evitou cravar um prazo de retorno. A diretoria estuda a contratação de um substituto para a posição. O treinador deve improvisar um jovem da base na vaga aberta. O elenco lamentou a perda de um dos principais articuladores da equipe. A fisioterapia será intensificada para acelerar a recuperação do atleta. O clube divulgará um novo boletim médico antes da partida.
6,esporte,"O empate sem gols frustrou a torcida que esperava a vitória em casa pelo campeonato. O time criou chances, mas parou no goleiro adversário em todas as finalizações. O técnico reconheceu a falta de pontaria do ataque na entrevista coletiva. A equipe desperdiçou um pênalti no início do segundo tempo. A defesa, ao menos, manteve o gol sem ser vazado pela quarta partida. O resultado deixou o time a três pontos do líder na tabela. Os jogadores ficaram no campo conversando após o apito final. A próxima rodada terá um confronto direto contra o vice-líder."
7,esporte,A seleção de vôlei venceu a partida por três sets a um e avançou às semifinais do torneio. O levantador comandou o ritmo do jogo e distribuiu bem as jogadas de ataque. O bloqueio funcionou nos momentos decisivos de cada set disputado. A torcida acompanhou o duelo no ginásio lotado e empurrou o time. O técnico destacou a evolução da equipe ao longo da competição. As atletas comemoraram a classificação abraçadas no centro da quadra. A próxima adversária vem de uma sequência de vitórias no campeonato. O treinador prometeu corrigir os erros de recepção antes da semifinal.
8,esporte,O time de basquete conquistou a vitória na prorrogação após um jogo equilibrado. O armador acertou a cesta decisiva nos segundos finais da partida. A defesa apertou a marcação e forçou erros do adversário no último quarto. A torcida vibrou a cada ponto convertido no ginásio. O técnico elogiou a frieza da equipe nos momentos de pressão. O pivô dominou os rebotes e garantiu posses importantes. O resultado manteve o time na liderança da conferência. A próxima partida será um clássico regional muito aguardado.
9,esporte,A nadadora bateu o recorde nacional na prova dos cem metros e garantiu vaga na competição internacional. O tempo cravado superou a marca anterior por uma fração de segundo. A treinadora comemorou o resultado à beira da piscina com a equipe. A atleta dedicou a conquista aos anos de treino e dedicação. O comitê confirmou a convocação para o mundial da modalidade. Os adversários reconheceram o nível técnico apresentado na final. A prova teve transmissão ao vivo e grande audiência. O calendário prevê novas etapas seletivas nas próximas semanas.
10,esporte,A polêmica de arbitragem dominou as discussões após a rodada do campeonato. O lance do pênalti não marcado gerou reclamações dos jogadores em campo. A federação prometeu revisar a atuação do árbitro com o auxílio do vídeo. O técnico criticou a demora nas decisões durante a partida. A torcida adversária protestou nas redes sociais contra o resultado. O dirigente do clube pediu mais transparência nos critérios da arbitragem. O lance dividiu opiniões entre os comentaristas esportivos. A entidade divulgará um parecer oficial nos próximos dias.
